ID,TARGET,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
26220,11,6,6,2,2,12,11,11,18,33,15,33,31,6,14,12,62900,18,81378
26346,10,4,6,3,4,6,10.75,9,17,40,13,30,33,6,15,14,171700,19,59717
54897,20,6,11,4,8,15,17.67,15.09,17,69,14,35,57,6,17,22,127100,28,0
26680,15,2,22,2,14,15,14,10.82,24,129,11,31,76,6,15,32,79400,41,37290
26887,30,0,1,0,0,25,0,25,22,22,10,10,16,4,4,6,91400,38,67625
26924,60,2,4,0,2,50,37.5,23.75,18,69,13,28,46,6,6,17,116600,0,78798
27039,15,1,1,1,1,15,15,15,21,21,8,15,13,3,6,5,56200,24,0
27217,15,2,2,2,2,30,20,20,16,27,13,27,23,6,13,11,50300,25,0
27366,16,4,21,4,14,11,10.75,6.38,17,128,16,32,75,6,15,29,75600,19,53272
27423,5,1,6,0,4,20,20,9.17,26,116,9,28,55,4,4,23,44200,28,0
27484,10,3,16,1,7,12,11.33,8,19,114,12,32,74,5,14,31,101000,31,54898
2586,20,1,3,1,2,25,20,20,6,19,24,28,26,9,11,10,91600,19,45932
28550,15,1,3,0,2,15,15,11.67,18,57,12,27,38,4,4,13,80300,29,45932
28565,7,5,6,3,3,6,5.4,5.17,19,29,13,26,24,6,12,10,74500,12,50350
28681,35,1,5,0,2,25,25,9.8,26,81,10,29,48,5,5,18,89600,36,43621
27968,5,9,33,7,18,5,5.56,5.27,17,121,14,33,82,6,17,33,307700,30,70971
28713,21,2,10,2,8,19,19,15.1,22,92,12,33,62,6,16,26,330600,36,0
20012,5,7,13,5,6,7,5.43,4.92,16,44,15,36,41,6,17,17,50700,34,36955
29027,8,6,14,3,6,3,4.5,4.43,18,79,11,28,55,6,15,21,57100,27,42875
29103,11,2,16,2,6,12,11,5.81,17,86,13,33,63,6,15,24,71800,31,37561
29141,20,3,7,1,2,15,13.67,11.86,16,63,13,33,49,6,15,18,52300,24,41277
30907,15,1,1,1,1,15,15,15,17,17,11,16,14,4,6,5,80300,20,0
29215,38,3,8,1,4,26,23.67,17.38,18,67,16,35,55,6,17,22,92000,30,0
29587,8,3,14,1,10,6,9.33,5.57,17,116,9,23,58,4,10,22,50800,43,36294
29589,8,5,18,1,5,8,8,8.17,18,65,13,34,53,6,16,22,45300,40,0
29852,17,1,14,0,7,17,17,9.64,26,113,9,26,66,4,4,25,59300,25,36263
29875,20,1,1,1,1,20,20,20,24,24,7,17,15,3,7,6,148300,28,61802
30028,1,1,14,0,6,50,50,20.43,18,111,13,33,74,6,6,31,62900,76,39625
30051,10,2,7,1,5,6,13,9,19,104,13,30,55,6,13,23,35900,0,0
30117,16,1,2,1,1,16,16,13,24,33,9,25,24,4,11,10,67900,33,54456
29988,25,1,1,1,1,25,25,25,17,17,12,17,14,5,7,6,35100,43,29054
30795,10,3,18,1,10,10,10,5.44,15,105,12,30,69,5,13,26,32300,45,0
31239,10,2,3,2,2,15,12.5,9.67,24,33,9,27,28,4,12,11,47500,27,34643
31425,16,2,18,0,11,9,12,4.89,16,126,13,32,74,6,6,32,67100,0,0
31616,50,4,5,2,2,7,6.75,6.6,22,32,13,30,28,6,14,12,55500,44,42797
31852,26,1,5,0,1,21,21,15.2,25,67,11,32,50,6,6,21,98500,37,54217
31977,28,3,6,2,5,22,22.33,18.5,20,77,15,32,54,6,14,20,151300,35,92425
31959,20,0,1,0,0,25,0,25,19,19,10,10,12,4,4,4,154800,44,92425
12474,10,3,14,1,5,6,13.33,8,18,79,24,38,60,4,11,16,73900,38,48418
32380,5,6,17,5,14,5,5.33,4.76,21,105,11,28,66,5,14,26,82500,64,46476
32475,20,3,5,2,2,20,20,16.4,18,40,13,35,40,6,17,16,81400,44,42391
8103,12,6,14,4,7,11,13.83,12.21,20,80,17,35,69,6,16,27,85600,51,42391
32523,10,3,3,2,2,10,11.67,11.67,19,29,12,27,25,6,13,11,107300,38,49601
32622,47,1,6,0,3,37,37,23.83,18,92,13,32,62,6,6,23,53300,35,0
14319,19,5,10,1,1,12,12.8,10.7,18,40,28,49,53,6,16,16,36800,34,26487
32843,15,1,2,0,1,15,15,15,18,41,10,26,28,4,4,11,54600,46,40504
32880,10,2,5,2,3,15,17.5,12.2,16,53,13,32,41,6,14,15,69500,40,47318
32892,10,2,21,1,11,10,10,10.19,15,110,12,31,74,5,13,27,85200,40,47318
33135,10,4,16,2,7,11,11.25,9.81,16,124,14,36,76,6,17,32,75400,38,0
33192,10,5,16,2,9,8,6.6,6.25,17,102,12,34,66,6,17,29,67100,41,60541
33356,20,1,11,0,4,3,20,14.09,9,104,14,35,69,6,6,27,62500,33,50554
33409,5,2,11,2,7,15,12.5,4.55,17,79,10,17,31,5,10,14,135200,45,66839
33407,10,2,13,0,7,11,10.5,8.54,19,74,13,34,57,6,6,23,70200,26,66839
186540,7,11,30,6,14,7,7.36,6.73,4,56,18,37,58,7,17,22,92300,28,0
33615,15,3,7,0,4,15,15,14.57,18,90,13,32,58,6,6,24,56300,50,42862
33762,8,4,6,2,2,10,7.25,7.5,17,32,15,33,32,6,15,13,34100,36,35000
34079,5,7,10,6,7,6,5.43,4.9,17,41,13,32,35,6,16,15,80100,53,44775
34120,20,4,15,3,6,20,20,17.87,22,97,14,36,69,6,17,27,71700,36,45466
34302,14,2,21,0,7,14,14,11.48,18,126,8,17,57,3,3,23,83700,39,41005
34591,23,8,15,5,12,15,19,19.67,15,105,14,34,69,6,16,29,83500,45,49337
34681,21,2,9,1,5,15,18,12.22,18,76,13,34,57,6,16,22,114500,28,56282
34800,10,5,13,3,5,15,19,13.46,24,86,7,23,48,4,12,18,75600,47,0
34836,15,2,5,1,4,15,15,15.4,23,51,12,23,24,6,12,13,70500,42,40364
34957,10,7,11,4,7,15,20.71,20,15,57,15,35,53,6,17,21,167500,41,67326
37304,5,4,14,3,9,10,10.5,7.64,18,105,12,31,63,5,15,27,64000,29,46394
35043,16,3,4,2,3,17,15.67,13,17,44,13,30,34,6,15,15,135700,33,68639
35181,25,3,16,2,12,32,24,20.88,18,121,13,35,80,6,17,33,139500,32,0
35276,10,2,14,0,5,10,10,6.64,18,128,9,23,42,3,3,16,354200,26,0
35306,25,1,4,0,2,20,20,12.25,17,64,12,27,43,6,6,15,83300,41,49287
35463,30,2,10,2,8,20,20,20,20,128,11,27,67,4,11,28,102800,46,53710
35476,25,2,7,0,3,25,22.5,17.14,18,52,13,34,44,6,6,18,62500,37,38082
35751,5,8,31,6,19,5,5.25,4.26,17,103,12,30,70,6,17,30,85300,49,49725
35947,14,2,12,1,8,14,13,7.67,25,129,9,25,61,4,11,26,57500,28,34796
109644,5,8,13,5,10,14,12.5,12.08,17,56,14,34,51,6,17,21,54600,27,45763
9439,25,0,9,0,4,0,0,18.33,4,113,30,30,93,5,5,26,130500,48,52936
36141,10,1,3,0,1,25,25,15,17,44,15,31,35,6,6,13,95700,65,58016
36165,20,2,3,2,2,10,22.5,18.33,16,24,13,23,22,6,11,9,156900,56,68845
36371,11,5,14,3,7,10,8.4,7.29,19,104,13,35,67,6,17,27,425900,61,110149
36395,15,6,20,4,11,15,13.5,11.1,17,89,16,36,71,6,17,26,88500,40,41444
36460,31,5,5,2,2,25,24,24,19,33,12,30,30,6,15,13,363700,34,34619
36472,13,2,7,1,3,12,12,7.14,16,66,13,23,38,6,10,15,225000,33,34619
36528,25,1,4,0,2,50,50,25,18,89,15,28,51,6,6,19,93400,5,31141
39020,21,1,2,1,2,15,15,12.5,21,41,10,26,30,4,10,10,72400,35,46301
36923,10,8,21,5,12,6,4.25,3.86,18,80,13,34,60,6,17,25,74200,30,61743
9049,15,2,11,0,3,12,9.5,8.82,16,53,29,47,63,6,6,16,58600,19,31314
37005,11,4,8,3,5,10,9.25,7.88,15,75,15,33,41,6,14,16,138000,13,49513
185815,7,7,24,4,13,7,5.29,5.25,5,63,21,40,60,6,16,22,55000,13,40210
8863,40,1,5,1,2,25,25,18,20,57,16,32,64,6,12,13,130700,35,61523
37221,6,5,23,3,12,4,6.2,3.96,15,125,11,29,63,4,12,25,77500,33,49180
37342,25,1,1,0,0,25,25,25,15,15,9,11,11,3,3,4,80100,29,41764
37472,20,1,1,1,1,20,20,20,16,16,12,17,14,5,7,6,82500,0,0
37698,32,2,7,1,5,25,22.5,15.29,20,78,13,31,52,6,13,20,90600,20,0
37762,30,2,2,1,1,25,14,14,18,29,13,21,18,6,10,8,198700,22,27206
6615,11,3,19,2,12,10,10.67,10.68,17,124,16,35,84,8,18,34,170100,27,0
37852,20,4,6,2,3,20,12.5,10.5,17,45,13,34,40,6,16,16,87900,13,35498
36690,3,2,4,2,3,15,13,10,24,50,11,26,38,5,11,14,163100,0,0
38111,7,5,18,3,13,10,5.6,4.72,18,128,13,33,68,6,17,30,74700,39,42523
10287,15,3,27,3,13,10,10,8.3,6,123,29,49,101,6,16,35,125800,26,62830
38519,2,5,17,3,12,2,4,3.12,17,88,12,28,56,5,12,21,109800,30,41607
13239,3,7,12,5,6,3,3.14,2.92,17,41,26,43,51,6,15,16,308300,31,41607
38539,13,5,10,3,5,8,6.6,5.5,19,44,12,31,38,6,16,16,145800,39,62781
38580,10,1,11,0,7,20,20,14.82,26,113,10,31,68,5,5,27,114400,27,46777
38734,26,1,5,0,2,26,26,16,16,76,11,28,46,5,5,18,197900,31,38906
38820,20,5,26,4,16,7,8.4,9.58,22,124,13,32,77,6,16,31,133200,38,68869
39257,25,2,8,2,4,20,15,9.25,16,68,14,31,54,6,14,19,109300,37,59874
39246,5,7,8,4,4,5,4.43,4.25,17,29,12,25,25,6,12,10,109300,37,59874
12515,20,7,24,5,9,15,13.14,11.46,17,110,30,48,98,6,17,33,55300,23,42295
40058,25,3,12,3,9,20,18,11.67,25,130,11,31,62,6,17,30,118700,46,42429
190377,24,4,19,2,9,24,24.5,17.89,16,106,4,12,40,2,6,19,72000,0,0
40520,10,2,13,1,7,10,11,9.54,18,105,13,33,69,6,15,25,96500,43,44404
39659,20,6,12,5,8,15,14,12.33,19,53,13,33,47,6,17,19,89700,29,43310
50640,5,4,18,1,13,8,7.75,6.06,15,127,9,24,57,4,10,23,90800,24,43310
40379,6,4,8,3,7,10,6.25,5.38,16,53,14,33,44,6,14,17,235700,21,64434
41325,12,5,6,1,2,7,6.2,5.67,18,41,12,27,25,6,12,11,80300,34,0
41384,12,5,14,3,6,13,12,9.43,19,77,13,34,59,6,16,23,55600,35,48602
41448,15,5,7,2,3,12,11.4,9.86,17,44,15,33,37,6,15,15,150300,31,0
190626,10,2,14,2,11,10,14,8.79,22,130,12,31,73,6,16,31,76800,44,59625
41819,15,2,2,0,0,15,10,10,20,32,10,22,23,4,4,7,46700,36,40993
41920,15,1,1,0,0,15,15,15,20,20,10,16,15,4,4,5,46700,36,47060
45116,5,6,23,3,15,5,5,4.91,15,130,7,27,73,4,14,31,164200,43,53046
8330,5,1,11,0,5,5,5,5.73,5,92,24,41,70,4,4,17,74200,49,43877
45158,10,6,14,4,9,10,9.67,8.5,19,89,13,35,62,6,17,25,91700,38,50524
187748,7,5,8,4,5,6,9.8,8.38,16,52,7,15,23,2,6,9,86500,0,0
45367,30,1,1,1,1,25,25,25,23,23,10,20,19,4,8,7,117200,38,0
45551,15,2,2,2,2,15,12.5,12.5,16,31,11,25,22,4,10,9,0,0,0
45201,11,3,3,1,1,11,7.67,7.67,15,23,11,18,16,5,8,7,81700,28,0
42279,5,6,10,4,5,5,6.33,5.6,18,53,12,30,37,6,16,16,40000,38,34341
190562,10,4,16,3,9,10,9.25,5.94,15,105,6,22,55,3,11,23,69500,17,34943
42499,10,4,6,4,4,5,7.5,6.67,18,33,12,28,28,6,15,13,68000,40,32263
42543,20,4,4,2,2,14,8.75,8.75,18,27,16,29,27,6,12,10,41900,16,34330
42686,20,1,1,1,1,20,20,20,21,21,11,18,16,4,7,6,82400,63,46780
42724,25,2,3,0,1,17,12,9.67,26,52,11,24,34,4,4,11,44000,17,38632
42937,20,2,7,1,2,20,20,15.57,16,104,15,35,60,6,15,21,94400,37,38632
42776,16,3,3,3,3,17,14,14,17,33,12,30,28,6,14,12,138500,39,49147
42778,10,1,4,0,0,15,15,10,26,44,9,29,34,4,4,14,73100,48,49147
43492,12,2,12,1,10,13,12,7,18,109,14,29,51,6,13,23,66500,51,0
70144,15,3,12,0,6,21,17,13.58,20,115,13,34,74,6,6,29,58500,34,39015
43010,25,2,4,1,1,25,20,17,22,65,15,35,46,6,15,15,56000,31,0
128975,15,7,15,5,7,11,9.29,8.27,16,56,15,36,52,6,17,20,0,45,0
43119,9,3,4,2,2,6,6.33,6.25,17,28,13,26,26,6,12,10,84500,37,73831
43052,5,4,9,3,5,15,10,8.11,18,64,7,27,41,4,13,17,203800,51,0
43001,15,1,1,0,0,15,15,15,15,15,7,9,9,2,2,3,116700,37,0
43559,2,4,30,1,15,5,4.5,3.57,16,130,12,30,73,5,13,30,132200,34,73930
43564,20,1,1,1,1,20,20,20,24,24,7,17,15,3,7,6,116500,49,43692
43663,10,6,18,4,7,3,8.33,6.39,15,69,8,19,38,4,12,15,62000,33,34491
2809,25,2,13,2,11,10,13.5,10.46,17,130,22,32,69,9,13,29,121900,43,54028
11348,5,2,12,1,5,17,12.5,12.17,17,76,35,54,99,11,20,28,91200,48,0
6403,10,3,26,3,10,10,10,10.12,4,118,37,57,126,6,15,30,67700,24,50359
43998,22,3,4,0,0,25,19.67,16.75,18,44,15,32,35,6,6,13,76800,31,51648
6443,20,1,13,1,3,25,25,14.69,21,93,24,43,85,6,15,18,59500,46,37481
44370,5,5,18,4,13,5,5,4.44,15,128,10,30,62,5,14,29,122600,60,45651
44351,35,1,5,0,2,20,20,9.4,19,66,15,31,48,6,6,17,94800,53,45651
44419,2,3,10,1,4,6,14.67,9.6,15,52,18,34,37,7,15,16,72600,56,0
13796,20,4,9,2,4,16,11,9.67,16,45,26,45,57,7,17,20,65600,52,0
44715,12,1,16,0,10,10,10,7.19,17,110,12,25,52,5,5,23,64600,55,39302
44765,10,3,12,2,8,10,10,9.25,18,107,13,34,72,6,16,31,63100,61,37183
45431,20,2,3,1,1,20,17.5,15,17,44,14,32,37,6,14,14,49200,49,33933
45666,5,5,5,2,2,6,5.6,5.6,16,32,13,27,24,6,12,10,56600,53,33707
45656,27,2,2,1,1,30,27.5,27.5,16,20,14,22,18,6,10,8,56600,53,33707
45808,10,5,19,4,9,12,10.4,8.58,20,113,13,34,69,6,16,27,87700,38,47308
45824,25,4,10,2,4,21,19.5,15.8,19,64,13,33,53,6,17,22,138500,47,77368
45971,10,4,5,3,3,10,8.5,8,19,28,13,26,25,6,12,10,115500,49,54367
45968,18,2,2,2,2,15,12.5,12.5,16,20,14,22,19,6,10,8,115500,49,54367
27280,3,7,9,3,3,6,5.29,5,18,32,13,30,31,6,14,12,62400,26,0
894,40,10,34,5,12,21,19.4,17.06,4,64,35,55,105,11,22,36,86000,40,48783
46129,10,1,7,1,5,16,16,13.14,19,92,15,33,60,6,14,24,97300,39,54911
46165,15,3,22,1,12,12,11.33,11.18,16,113,15,35,77,6,15,29,91600,49,41086
46178,20,7,7,5,5,10,12.29,12.29,18,29,14,28,27,6,14,12,109600,40,48866
46358,9,7,15,5,9,11,10.29,7.47,18,88,14,33,58,6,16,23,71500,32,46679
46419,4,9,41,5,21,4,5.33,5,15,129,12,33,81,5,16,33,68400,28,35635
46461,12,6,6,4,4,13,11.33,11.33,16,33,16,33,32,6,14,12,71900,41,38325
46671,10,2,11,0,6,25,22.5,9.82,18,115,13,33,70,6,6,29,74600,25,62714
46687,10,3,26,2,11,5,5,5.12,17,130,12,28,71,5,11,28,41300,29,38339
46844,10,3,13,1,5,10,10,7,18,125,8,22,54,4,11,23,45300,29,31250
47191,5,5,7,3,4,5,5,4.14,16,52,12,24,27,5,10,10,95000,17,54188
47404,10,3,17,2,10,10,8,5.24,22,124,11,31,69,5,14,30,47500,46,33116
47688,10,4,5,3,3,20,13.75,12,16,32,14,27,28,6,11,9,45500,27,0
47827,10,4,16,1,9,10,10,8.63,19,124,15,35,77,6,16,32,57000,31,41040
48003,10,1,18,0,11,10,10,7.61,23,126,10,27,67,4,4,28,76500,34,60721
48135,8,7,15,3,7,10,7.43,6.87,17,52,13,35,49,6,17,20,68100,33,61132
48314,5,5,14,4,8,10,7.2,8,16,130,9,24,40,4,13,20,26600,34,38714
48338,25,1,1,1,1,25,25,25,16,16,12,17,14,5,7,6,51100,31,46910
48367,11,6,22,5,15,11,11.5,8,22,127,13,35,80,6,17,33,47800,27,37149
131537,7,6,9,4,4,5,9.33,8.44,16,35,14,32,32,6,15,13,40800,40,0
48587,15,2,3,0,0,15,13.5,12.33,18,31,12,26,24,6,6,10,42500,29,45691
48913,4,12,16,7,8,6,4.58,4.31,19,41,12,33,35,6,16,15,43300,11,0
186014,5,6,13,3,7,5,5.33,5,9,105,22,42,65,7,16,26,39400,11,36607
49109,6,4,7,2,3,5,6,5.29,18,35,12,28,30,6,14,13,39400,32,0
49439,25,1,1,1,1,25,25,25,16,16,12,17,14,5,7,6,73200,43,49425
187659,15,1,3,0,1,15,15,9,27,43,6,14,17,2,2,8,87100,28,0
50122,10,3,8,1,4,10,12.33,9.25,17,88,15,33,57,6,14,21,71500,34,0
50200,10,6,6,2,2,10,10.83,10.83,18,32,13,32,30,6,15,13,105200,42,60250
50570,10,4,4,4,4,10,10,10,16,29,14,28,27,6,14,12,30800,18,33472
50905,16,4,6,3,5,10,10,8.67,16,52,12,30,37,6,14,15,73600,31,52096
